Student_ID,Age,Gender,Study_Hours_Per_Week,Attendance_Rate,Assignments_Submitted,Course_Grade,Part_Time_Job,Monthly_Income,GPA,Social_Media_Usage_Hours,Extra_Curricular_Activities,Internet_Access,Parental_Education_Level,Mode_of_Transport
S00025,20,Female,18,0.67,7,A,No,7222,3.77,3,Yes,Yes,Diploma,Bus
S00026,20,Other,5,0.75,6,D,No,7516,3.79,6,No,No,Graduate,Bus
S00027,22,Male,22,0.74,1,F,Yes,5601,3.65,19,Yes,Yes,High School,Car
S00028,18,Other,21,0.99,8,A,No,3499,3.05,11,No,Yes,High School,Bike
S00029,18,Female,19,0.8,5,B,Yes,1827,3.46,11,Yes,Yes,Graduate,Bike
S00030,19,Female,29,0.71,9,D,Yes,9085,2.26,17,No,Yes,Diploma,Bus
S00031,19,Male,17,0.64,1,B,Yes,13937,3.72,10,Yes,Yes,Postgraduate,Walk
S00032,23,Other,37,0.79,1,D,No,18309,3.9,9,No,Yes,High School,Car
S00033,19,Other,28,0.77,0,A,Yes,14569,2.66,18,No,Yes,Diploma,Bus
S00034,19,Female,38,0.75,3,D,Yes,17138,2.52,0,No,Yes,Graduate,Bus
S00035,23,Other,15,0.97,4,F,Yes,7425,2.49,2,Yes,Yes,Postgraduate,Bike
S00036,18,Other,29,0.75,8,D,No,16980,2.68,6,Yes,Yes,High School,Bus
S00037,21,Male,36,0.61,8,C,Yes,12748,2.16,16,Yes,No,Postgraduate,Bike
S00038,20,Other,5,0.58,1,D,Yes,19290,3.58,15,No,Yes,Graduate,Walk
S00039,19,Female,33,0.95,6,A,Yes,12660,2.64,7,No,No,Postgraduate,Walk
S00040,21,Female,15,1.0,5,A,Yes,10391,2.16,6,Yes,No,Graduate,Bus
S00041,19,Other,26,0.8,4,F,Yes,2948,3.98,2,Yes,No,Graduate,Bike
S00042,22,Female,16,0.86,3,F,Yes,17481,2.43,18,No,Yes,High School,Walk
S00043,24,Other,5,0.71,5,C,No,8305,3.64,5,Yes,No,Graduate,Car
S00044,19,Other,20,0.93,9,C,No,4906,2.98,17,Yes,No,Graduate,Bus
S00045,24,Male,20,0.67,1,C,Yes,16339,2.75,15,No,Yes,Postgraduate,Bike
S00046,22,Male,7,0.51,3,A,No,15412,3.34,17,Yes,Yes,Postgraduate,Bike
S00047,23,Other,34,0.52,0,D,No,17475,3.72,6,Yes,No,Graduate,Bike
S00048,24,Male,7,0.91,5,B,No,7058,2.11,15,No,No,Diploma,Bus
S00049,20,Female,39,0.71,8,C,No,14048,2.09,8,Yes,Yes,Diploma,Walk
S00050,19,Other,35,0.98,4,F,Yes,19634,3.97,19,No,No,Postgraduate,Walk
S00051,22,Male,39,0.71,8,F,Yes,17519,2.54,3,Yes,No,Postgraduate,Walk
S00052,20,Male,16,0.97,7,C,No,15921,2.11,1,Yes,Yes,Postgraduate,Bus
S00053,19,Male,34,0.74,7,A,Yes,19846,2.66,7,Yes,Yes,Diploma,Car
S00054,23,Male,29,0.86,5,F,No,6605,2.36,10,Yes,Yes,Graduate,Bike
S00055,24,Other,27,0.65,7,B,No,17104,2.9,3,Yes,No,Diploma,Car
S00056,24,Female,21,0.77,3,D,Yes,6160,3.76,17,No,Yes,Postgraduate,Walk
S00057,24,Other,5,0.66,1,F,Yes,15303,3.79,17,No,No,Diploma,Walk
S00058,19,Other,21,0.84,6,B,No,12486,2.62,5,Yes,Yes,Graduate,Car
S00059,23,Female,39,0.61,3,D,No,7574,2.95,7,No,No,Graduate,Bus
S00060,18,Female,22,0.68,9,A,Yes,11832,3.08,12,Yes,No,High School,Bike
S00061,21,Other,14,0.82,9,B,No,15254,2.5,9,No,No,High School,Car
S00062,21,Male,37,0.65,5,C,Yes,12185,2.34,12,No,Yes,High School,Bus
S00063,20,Other,10,0.64,0,D,No,9529,2.95,13,Yes,Yes,Graduate,Bike
S00064,22,Other,25,0.69,3,A,No,10447,2.81,18,Yes,No,Diploma,Bike
S00065,21,Other,34,0.81,3,F,Yes,8083,3.8,4,No,Yes,High School,Walk
S00066,22,Male,30,0.67,1,A,Yes,530,3.69,5,Yes,Yes,Graduate,Bike
S00067,22,Female,11,0.72,7,B,No,180,3.33,2,Yes,Yes,Diploma,Bike
S00068,21,Male,25,0.51,3,C,Yes,7585,2.57,11,Yes,Yes,Diploma,Bike
S00069,21,Male,37,0.85,9,C,No,5641,2.74,18,No,No,Diploma,Walk
S00070,24,Other,7,0.91,3,F,No,3035,2.35,16,No,No,Diploma,Bus
S00071,22,Male,16,0.91,5,B,Yes,11643,2.54,6,Yes,No,Graduate,Walk
S00072,22,Male,37,0.77,3,D,Yes,2053,3.97,17,Yes,No,Postgraduate,Walk
S00073,19,Female,28,0.71,0,B,Yes,18876,3.1,4,Yes,No,Graduate,Car
S00074,24,Male,11,0.59,2,F,Yes,18666,3.64,2,No,Yes,Graduate,Car
S00075,19,Male,12,0.83,7,F,Yes,17190,2.55,8,Yes,No,High School,Walk
S00076,22,Other,39,0.79,1,C,No,15729,2.82,19,Yes,No,Graduate,Walk
S00077,21,Other,11,0.71,7,D,No,12017,3.2,5,No,Yes,Graduate,Bike
S00078,19,Male,8,0.81,5,B,No,10520,2.1,3,No,No,Graduate,Bike
S00079,22,Female,38,0.98,8,A,Yes,16688,3.8,7,No,No,High School,Car
S00080,23,Other,26,0.57,1,C,No,18280,3.69,19,Yes,Yes,Postgraduate,Bike
S00081,24,Other,37,0.98,0,A,Yes,7551,3.96,3,Yes,Yes,Diploma,Car
S00082,22,Other,15,0.79,1,A,Yes,6259,2.77,19,Yes,Yes,Graduate,Car
S00083,20,Male,13,0.92,4,A,Yes,9950,2.25,8,Yes,Yes,Diploma,Bus
S00084,20,Male,19,1.0,6,B,No,16718,3.36,16,Yes,No,Diploma,Car
S00085,22,Other,32,0.96,6,A,Yes,19945,2.26,2,No,No,High School,Car
S00086,24,Female,34,0.7,8,A,Yes,1993,2.62,9,No,No,Graduate,Bike
S00087,22,Other,27,0.73,4,A,Yes,3188,2.43,8,No,Yes,Postgraduate,Bike
S00088,22,Male,8,0.8,8,F,No,6916,3.27,12,No,Yes,Diploma,Walk
S00089,19,Female,18,0.82,7,A,No,16144,3.29,19,No,No,Graduate,Bus
S00090,18,Other,23,0.61,7,C,Yes,18795,2.66,18,No,No,Graduate,Car
S00091,19,Other,28,0.97,4,A,Yes,16597,3.49,5,Yes,No,High School,Bike
S00092,22,Female,11,0.91,4,D,No,15591,3.57,7,No,Yes,Postgraduate,Bike
S00093,24,Male,22,0.57,1,B,No,16520,3.37,2,Yes,Yes,Graduate,Car
S00094,19,Other,19,1.0,3,A,No,5658,2.12,13,Yes,No,Diploma,Walk
S00095,18,Other,9,1.0,4,F,Yes,1235,2.29,16,Yes,No,Graduate,Car
S00096,18,Male,24,0.68,3,C,No,15698,2.76,3,No,Yes,Diploma,Walk
S00097,24,Female,11,0.92,6,C,Yes,15116,2.87,16,Yes,Yes,Graduate,Bike
S00098,18,Female,14,0.63,5,F,No,19892,2.66,19,Yes,No,Diploma,Car
S00099,24,Female,5,0.58,6,F,Yes,11459,3.11,19,No,Yes,Postgraduate,Car
S00100,23,Female,38,0.93,7,A,Yes,13280,2.6,13,No,Yes,Postgraduate,Bike
S00101,24,Other,27,0.78,1,B,No,13854,2.84,10,Yes,No,High School,Car
S00102,22,Female,34,0.53,8,A,Yes,11708,2.04,6,No,Yes,Diploma,Car
S00103,24,Male,23,0.92,1,F,Yes,9914,2.71,11,No,No,Diploma,Bike
S00104,21,Other,37,0.69,2,B,No,14931,3.39,2,No,Yes,Postgraduate,Bike
S00105,21,Female,38,0.58,8,A,Yes,515,3.01,3,Yes,Yes,Postgraduate,Bike
S00106,24,Female,20,0.76,2,C,Yes,19050,3.45,7,Yes,Yes,High School,Bike
S00107,21,Female,38,0.74,2,D,Yes,12742,3.22,14,No,No,High School,Bus
S00108,20,Male,34,0.9,8,C,Yes,2992,3.96,16,No,Yes,Postgraduate,Car
S00109,21,Male,28,0.74,6,D,No,5957,2.54,14,Yes,No,Postgraduate,Bus
S00110,22,Female,36,0.83,0,C,Yes,4244,2.21,18,Yes,No,Diploma,Walk
S00111,22,Male,20,0.68,9,C,Yes,16344,2.27,6,Yes,Yes,High School,Bike
S00112,20,Female,23,0.55,1,F,No,10177,2.54,2,Yes,Yes,High School,Car
S00113,23,Male,7,0.52,4,F,No,8991,3.15,1,No,Yes,High School,Bus
S00114,22,Other,21,0.66,2,F,Yes,9283,3.55,12,No,Yes,Postgraduate,Walk
S00115,23,Female,35,0.83,6,D,Yes,12853,2.08,9,No,No,Diploma,Bus
S00116,22,Male,7,0.51,1,B,No,14825,3.93,12,Yes,Yes,High School,Bike
S00117,24,Female,16,0.62,1,B,Yes,3069,2.71,4,Yes,No,Postgraduate,Bus
S00118,20,Other,34,0.58,3,F,No,17195,3.65,13,No,No,Diploma,Walk
S00119,24,Other,10,0.73,5,A,Yes,4392,3.34,4,No,No,Postgraduate,Bike
S00120,23,Male,17,0.87,7,D,Yes,12913,3.18,15,Yes,No,Graduate,Bike
S00121,23,Other,38,0.78,7,D,No,7438,2.17,7,No,Yes,Diploma,Car
S00122,23,Female,9,0.8,4,F,No,12842,3.79,12,Yes,No,Diploma,Bus
S00123,20,Other,26,0.97,2,F,Yes,18054,2.76,8,Yes,Yes,Diploma,Walk
S00124,20,Female,13,0.73,3,F,No,5775,3.78,18,Yes,Yes,Postgraduate,Car
S00125,22,Male,37,0.91,0,C,No,17196,2.38,8,Yes,No,Postgraduate,Bus
S00126,20,Other,31,0.67,2,D,No,12632,3.93,4,No,No,Graduate,Bike
S00127,23,Other,16,0.81,9,F,Yes,1518,3.24,10,Yes,No,Diploma,Bus
S00128,18,Female,22,0.88,6,C,No,10977,3.67,5,Yes,No,Diploma,Car
S00129,19,Other,13,0.91,9,A,No,15480,3.01,5,No,Yes,Graduate,Walk
S00130,20,Male,29,0.61,1,F,No,11029,3.19,0,Yes,Yes,Postgraduate,Bus
S00131,23,Other,34,0.63,1,D,No,10945,2.64,3,Yes,Yes,Diploma,Bike
S00132,20,Female,20,0.69,2,D,No,9328,3.48,7,No,No,Diploma,Bike
S00133,20,Other,31,0.63,6,A,No,4404,3.81,16,No,Yes,Graduate,Car
S00134,23,Female,27,0.77,3,F,Yes,10331,3.43,2,Yes,No,High School,Bus
S00135,23,Male,10,0.9,9,D,Yes,12952,2.94,9,Yes,Yes,High School,Bus
S00136,20,Female,35,0.58,5,B,No,17310,3.67,0,No,No,Diploma,Walk
S00137,19,Male,18,0.7,3,D,Yes,18863,3.0,3,Yes,No,High School,Bike
S00138,22,Other,31,0.86,3,C,Yes,9248,2.88,0,Yes,Yes,Postgraduate,Car
S00139,21,Male,21,0.85,1,B,No,8599,3.33,8,Yes,Yes,Graduate,Car
S00140,18,Male,10,0.62,9,B,Yes,12034,2.46,5,Yes,No,Postgraduate,Bus
S00141,24,Other,18,0.83,3,A,Yes,2694,2.95,5,No,Yes,Diploma,Car
S00142,22,Female,23,0.98,5,A,Yes,10642,2.08,10,No,No,Postgraduate,Bike
S00143,20,Other,14,0.81,6,B,No,1072,3.97,18,No,Yes,Graduate,Car
S00144,24,Other,35,0.66,2,C,No,2898,3.92,14,Yes,Yes,Graduate,Walk
S00145,23,Male,31,0.76,3,F,No,14398,3.97,1,Yes,No,Diploma,Walk
S00146,24,Male,7,0.67,7,B,Yes,14679,3.76,2,No,Yes,High School,Walk
S00147,22,Female,32,0.77,6,A,Yes,8793,3.8,2,No,No,Graduate,Car
S00148,23,Male,28,0.92,2,F,Yes,9898,2.17,12,No,No,High School,Bike
S00149,18,Other,15,0.57,1,B,Yes,3373,2.43,4,Yes,No,Graduate,Walk
S00150,22,Female,15,0.71,0,F,No,15847,3.34,1,Yes,No,High School,Car
S00151,22,Other,35,0.82,0,D,No,8471,2.4,15,No,No,Postgraduate,Walk
S00152,24,Male,18,0.73,4,A,Yes,6807,2.1,16,No,No,Graduate,Bike
S00153,23,Other,15,0.89,5,C,No,4584,2.82,15,Yes,No,Diploma,Car
S00154,20,Female,10,0.58,8,D,Yes,7776,3.86,19,Yes,No,Diploma,Walk
S00155,23,Female,5,0.94,9,F,Yes,641,3.99,8,No,No,Diploma,Bus
S00156,19,Male,16,0.99,6,D,No,8584,2.98,5,Yes,No,Graduate,Bus
S00157,23,Female,6,0.68,0,B,Yes,7684,3.22,15,No,No,Diploma,Walk
S00158,21,Male,13,0.56,1,B,No,3180,2.69,3,Yes,No,Postgraduate,Car
S00159,24,Other,20,0.99,6,B,Yes,5072,2.56,4,No,Yes,Postgraduate,Bus
S00160,22,Female,38,0.68,0,D,Yes,2374,3.86,2,Yes,No,Postgraduate,Bus
S00161,19,Female,5,0.75,1,A,No,5293,3.44,2,No,No,High School,Bus
S00162,23,Female,37,0.62,5,C,No,15450,2.44,4,Yes,No,Diploma,Walk
S00163,21,Female,6,0.53,0,F,Yes,4426,2.5,16,Yes,No,High School,Walk
S00164,18,Female,33,0.56,9,A,No,9035,3.44,6,Yes,No,High School,Bus
S00165,18,Female,13,0.62,4,F,No,16022,2.8,13,Yes,No,High School,Bus
S00166,22,Other,12,0.99,1,D,Yes,19858,2.99,18,Yes,Yes,High School,Walk
S00167,21,Other,32,0.9,3,A,No,6237,3.62,14,No,Yes,Postgraduate,Car
S00168,24,Other,7,0.71,0,C,Yes,14143,3.38,7,Yes,Yes,Postgraduate,Car
S00169,18,Male,15,0.66,2,B,Yes,35,3.89,19,No,No,High School,Bus
S00170,20,Other,5,0.57,7,C,Yes,8326,3.66,4,Yes,Yes,Postgraduate,Walk
S00171,19,Female,10,0.74,5,C,Yes,17197,2.53,0,Yes,Yes,Graduate,Bus
S00172,22,Female,17,0.95,0,C,No,6198,3.11,18,No,Yes,Postgraduate,Car
S00173,23,Other,31,1.0,2,B,No,19838,2.53,17,No,Yes,Postgraduate,Bus
S00174,23,Female,27,0.95,4,C,No,4304,2.63,10,Yes,Yes,Graduate,Walk
S00175,18,Male,38,0.53,7,D,No,10599,3.49,18,Yes,No,Diploma,Car
S00176,24,Other,36,0.58,1,C,No,1317,2.77,2,No,Yes,Graduate,Car
S00177,23,Male,33,0.57,1,C,No,18629,2.96,12,No,No,High School,Bike
S00178,19,Other,10,0.58,7,D,Yes,4547,3.34,2,Yes,No,High School,Bus
S00179,20,Female,18,0.56,0,A,No,14884,2.83,12,No,Yes,Graduate,Bus
S00180,23,Male,18,0.55,1,D,No,17597,2.87,16,No,Yes,High School,Walk
S00181,22,Female,37,0.68,8,F,Yes,6869,2.69,6,Yes,Yes,Graduate,Walk
S00182,24,Other,28,0.58,7,B,No,1102,2.91,11,No,No,Graduate,Walk
S00183,22,Female,39,0.57,0,D,No,646,3.58,19,No,No,Graduate,Walk
S00184,18,Male,15,0.76,6,B,Yes,4590,3.19,19,Yes,Yes,Diploma,Bus
S00185,22,Other,18,0.6,5,D,No,10452,2.13,8,Yes,No,Diploma,Walk
S00186,19,Other,30,0.5,1,C,Yes,2908,2.2,9,No,No,Diploma,Bus
S00187,21,Female,30,0.85,3,C,Yes,3931,2.03,9,No,Yes,High School,Bus
S00188,19,Female,38,0.66,4,F,Yes,7103,2.41,8,No,Yes,Diploma,Walk
S00189,20,Male,19,0.87,9,A,Yes,19338,2.45,10,Yes,No,Diploma,Car
S00190,23,Male,32,0.95,6,D,No,19238,2.14,10,No,Yes,Graduate,Bus
S00191,22,Other,35,0.96,3,F,No,17348,3.38,4,Yes,Yes,High School,Walk
S00192,20,Other,6,0.59,7,D,Yes,19838,3.4,16,Yes,Yes,Postgraduate,Walk
S00193,20,Other,26,0.84,1,B,No,11671,3.06,3,Yes,Yes,Postgraduate,Walk
S00194,22,Male,39,0.54,4,F,No,4596,3.29,13,No,No,Postgraduate,Car
S00195,21,Female,22,0.73,2,A,No,5039,3.78,11,Yes,No,Graduate,Bike
S00196,19,Female,36,0.71,7,D,Yes,6574,2.47,1,Yes,No,Diploma,Bus
S00197,20,Other,39,0.6,7,B,No,16794,2.91,12,No,No,Postgraduate,Bike
S00198,19,Other,10,0.89,7,B,No,1336,2.82,8,Yes,Yes,Diploma,Walk
S00199,20,Female,8,0.96,5,F,Yes,11696,3.64,3,No,No,High School,Car
S00200,22,Other,34,0.63,5,C,No,12471,2.61,11,Yes,Yes,Graduate,Bus
S00201,22,Other,16,0.62,9,F,Yes,4108,2.75,0,No,Yes,Graduate,Car
S00202,24,Male,12,0.6,8,F,No,6192,2.38,1,Yes,No,High School,Bike
S00203,22,Female,25,0.84,4,B,No,14667,2.06,15,No,Yes,High School,Bus
S00204,22,Female,35,0.53,9,A,No,11108,3.78,5,No,No,High School,Bike
S00205,22,Male,26,0.53,3,F,Yes,1701,3.61,16,Yes,No,Diploma,Car
S00206,19,Male,18,0.59,2,C,Yes,13220,3.6,14,Yes,No,Postgraduate,Bike
S00207,20,Male,13,0.77,1,B,No,15016,2.52,11,Yes,Yes,High School,Walk
S00208,23,Female,37,0.63,9,C,No,16426,2.27,6,No,Yes,Graduate,Bike
S00209,18,Female,20,0.99,8,B,Yes,7124,3.2,0,No,No,Diploma,Walk
S00210,21,Male,22,0.7,8,B,No,9592,2.95,0,No,No,Postgraduate,Bike
S00211,18,Female,20,0.74,7,F,No,19738,2.49,16,No,Yes,Postgraduate,Bike
S00212,24,Female,34,0.53,3,B,No,4536,3.55,12,No,Yes,Diploma,Bus
S00213,24,Male,16,0.85,9,A,Yes,3158,2.29,3,Yes,No,Graduate,Bus
S00214,23,Other,18,0.89,3,C,Yes,7863,3.64,5,No,Yes,Diploma,Car
S00215,20,Female,34,0.67,3,D,Yes,17226,3.88,13,Yes,Yes,Postgraduate,Bus
S00216,19,Other,25,0.86,5,B,Yes,12071,3.49,4,Yes,Yes,Postgraduate,Bus
S00217,23,Female,10,0.61,3,F,Yes,18205,3.34,12,No,Yes,High School,Walk
S00218,24,Other,28,0.9,8,D,Yes,12444,2.7,7,Yes,Yes,Diploma,Car
S00219,20,Other,17,0.77,5,A,Yes,14352,2.34,15,Yes,No,Graduate,Walk
S00220,21,Female,32,0.7,9,C,Yes,18952,2.44,5,No,No,Postgraduate,Car
S00221,24,Female,21,0.86,0,A,Yes,8999,2.7,17,Yes,Yes,High School,Walk
S00222,24,Female,14,0.81,1,F,No,4311,2.91,19,No,No,High School,Bike
S00223,23,Female,17,0.77,3,D,No,3290,3.82,3,Yes,No,Graduate,Walk
S00224,20,Other,37,0.61,2,A,No,16423,2.87,14,No,Yes,Graduate,Car
S00225,22,Male,11,0.92,7,B,Yes,14469,3.82,16,No,No,High School,Bike
S00226,18,Female,9,0.72,2,D,No,1096,2.48,7,No,No,Postgraduate,Walk
S00227,24,Female,37,0.72,1,C,Yes,7060,3.63,1,No,No,High School,Car
S00228,21,Male,38,0.6,4,F,No,3761,3.27,4,No,No,High School,Bus
S00229,21,Female,18,0.97,8,F,Yes,15186,2.39,9,No,No,Postgraduate,Car
S00230,18,Female,25,0.78,3,C,Yes,14980,2.25,13,No,No,Graduate,Walk
S00231,19,Female,22,0.73,2,F,Yes,10408,2.01,13,Yes,No,High School,Car
S00232,18,Other,18,0.99,9,F,No,17344,2.68,14,Yes,Yes,Graduate,Bus
S00233,24,Other,31,0.68,9,C,No,16006,2.5,7,No,No,Diploma,Bus
S00234,18,Male,30,0.52,7,F,Yes,7720,3.89,2,Yes,Yes,High School,Walk
S00235,18,Male,32,0.61,8,C,Yes,17361,3.49,2,No,Yes,Postgraduate,Bus
S00236,24,Male,5,0.87,5,F,No,16794,2.17,4,Yes,Yes,Graduate,Walk
S00237,19,Other,17,0.58,2,A,Yes,7639,3.44,12,Yes,Yes,High School,Bike
S00238,21,Female,39,0.58,8,A,No,12054,2.53,3,No,No,Postgraduate,Bus
S00239,23,Other,26,0.73,4,A,Yes,11692,3.59,19,No,No,High School,Walk
S00240,20,Female,7,0.73,9,D,Yes,11576,2.91,14,No,No,Graduate,Walk
S00241,18,Female,25,0.73,8,C,Yes,9009,2.43,5,No,No,High School,Car
S00242,19,Other,5,0.61,6,A,No,15149,3.68,1,No,Yes,Diploma,Bike
S00243,20,Female,39,0.58,2,F,Yes,7053,3.92,18,No,No,Diploma,Bus
S00244,23,Other,14,0.88,4,C,No,7569,2.98,16,Yes,Yes,High School,Bike
S00245,24,Other,28,0.8,2,C,Yes,14248,2.82,9,No,No,High School,Bike
S00246,23,Other,12,0.66,0,F,Yes,17488,3.3,4,No,Yes,Graduate,Car
S00247,20,Male,8,0.6,1,B,Yes,10501,2.49,5,Yes,No,Graduate,Walk
S00248,21,Female,38,0.94,8,C,Yes,9574,3.87,16,Yes,No,Graduate,Bike
S00249,23,Male,36,0.57,7,D,Yes,16556,3.28,1,Yes,Yes,Graduate,Bus
S00250,24,Male,29,0.79,0,D,Yes,15210,3.47,12,Yes,Yes,High School,Bus
S00251,22,Female,35,0.81,0,B,Yes,9050,3.57,3,No,No,Graduate,Bus
S00252,20,Other,14,0.93,2,A,Yes,17042,3.6,17,Yes,No,High School,Bike
S00253,18,Male,39,0.53,2,A,No,3284,3.49,19,Yes,No,High School,Bus
S00254,20,Male,17,0.65,0,C,Yes,12279,2.56,1,Yes,Yes,Diploma,Car
S00255,22,Other,18,0.98,9,F,No,8413,3.32,4,No,Yes,High School,Bus
S00256,24,Other,8,0.78,0,C,Yes,19637,3.22,17,Yes,Yes,Postgraduate,Car
S00257,22,Other,7,0.71,9,B,Yes,18270,3.83,6,Yes,No,Graduate,Bus
S00258,24,Female,7,0.66,2,A,Yes,15805,3.49,13,Yes,No,Diploma,Bike
S00259,21,Female,7,0.57,0,D,No,3761,3.12,19,Yes,No,High School,Car
S00260,19,Other,12,0.59,8,C,No,19227,3.85,3,Yes,No,High School,Bus
S00261,23,Female,31,0.89,3,B,No,18946,3.72,2,No,No,Graduate,Bike
S00262,23,Other,13,0.62,4,C,No,6378,2.59,10,No,Yes,High School,Bus
S00263,23,Other,10,0.61,1,A,No,16903,3.85,7,No,No,Diploma,Bike
S00264,21,Female,24,0.66,6,F,Yes,3599,2.93,17,No,Yes,Diploma,Car
S00265,24,Female,14,0.88,3,D,Yes,5462,2.55,2,Yes,No,Graduate,Bus
S00266,23,Other,32,0.71,3,B,No,5660,2.34,4,No,No,High School,Bike
S00267,24,Female,8,0.51,7,A,Yes,9445,3.37,1,Yes,No,High School,Car
S00268,22,Male,6,0.76,6,D,Yes,5124,3.29,6,Yes,Yes,High School,Bus
S00269,19,Male,5,0.64,8,A,No,5686,3.2,17,Yes,Yes,Postgraduate,Walk
S00270,23,Male,7,0.73,3,A,No,7526,3.65,16,No,Yes,High School,Car
S00271,23,Other,9,0.94,8,C,No,3378,3.97,16,Yes,No,Graduate,Car
S00272,23,Male,12,0.6,9,D,Yes,13988,2.26,4,No,Yes,Diploma,Bus
S00273,24,Other,20,0.67,4,F,Yes,19338,3.65,3,Yes,Yes,Graduate,Bike
S00274,23,Female,16,0.97,8,A,Yes,7590,3.44,0,Yes,No,Diploma,Car
S00275,23,Female,24,0.89,4,F,Yes,6681,2.92,10,No,No,Postgraduate,Bike
S00276,24,Male,18,0.64,7,F,Yes,4221,2.69,15,Yes,No,High School,Car
S00277,21,Other,32,0.55,5,A,Yes,15968,3.25,3,No,Yes,High School,Car
S00278,18,Other,37,0.97,7,C,No,4575,3.45,14,No,Yes,Graduate,Car
S00279,20,Male,28,0.57,5,B,No,9298,2.99,10,No,Yes,Postgraduate,Car
S00280,18,Male,6,0.68,2,B,No,2980,2.51,3,No,No,Diploma,Bike
S00281,18,Female,10,0.67,5,A,Yes,13326,3.44,3,Yes,Yes,Postgraduate,Car
S00282,20,Female,37,0.56,2,C,No,13926,2.26,19,Yes,No,Graduate,Bike
S00283,23,Female,9,0.55,9,B,No,9257,2.39,12,No,Yes,Postgraduate,Bike
S00284,20,Male,28,0.64,1,A,Yes,3530,3.2,16,Yes,Yes,Postgraduate,Bike
S00285,23,Female,32,0.68,7,D,No,7103,2.9,5,No,Yes,Graduate,Car
S00286,24,Female,37,0.98,6,A,Yes,19564,3.22,4,No,Yes,Graduate,Walk
S00287,22,Other,22,0.77,4,A,Yes,11234,3.62,1,No,No,Postgraduate,Car
S00288,20,Female,29,0.95,6,F,Yes,15058,3.59,5,Yes,No,Postgraduate,Bus
S00289,18,Female,33,0.56,5,F,Yes,15679,3.16,14,No,Yes,High School,Car
S00290,24,Other,17,0.62,4,C,Yes,15074,3.73,8,Yes,No,Postgraduate,Walk
S00291,24,Female,20,0.58,9,B,Yes,8281,2.65,1,Yes,Yes,Graduate,Bike
S00292,23,Other,17,0.69,5,C,No,5787,3.05,11,No,Yes,High School,Bike
S00293,24,Female,24,0.96,0,F,Yes,2463,3.29,13,No,No,High School,Bus
S00294,23,Female,7,0.65,3,A,No,11593,2.89,17,Yes,Yes,Diploma,Bike
S00295,20,Female,18,0.8,4,F,Yes,10425,3.84,19,Yes,Yes,Graduate,Walk
S00296,22,Female,16,0.96,8,A,Yes,9750,3.96,8,Yes,No,Postgraduate,Bike
S00297,24,Female,37,0.75,1,C,No,14103,2.01,7,Yes,Yes,Graduate,Bus
S00298,19,Male,21,0.76,7,C,Yes,13883,3.63,10,No,Yes,High School,Bike
S00299,21,Male,22,0.78,5,C,Yes,8091,3.99,16,Yes,No,Diploma,Walk
